RoomCount,Floor,Size(m2),Age,District,Price(TL)
4,2.0,135.0,3.0,Altındağ,3900000
4,1.0,125.0,7.5,Altındağ,2325000
4,2.0,150.0,7.5,Altındağ,4162500
4,1.0,140.0,7.5,Altındağ,3375000
4,1.0,135.0,7.5,Altındağ,2512500
7,3.0,200.0,7.5,Altındağ,6405000
4,1.0,145.0,4.0,Altındağ,2670000
3,2.0,78.0,20.0,Altındağ,1153500
4,0.0,120.0,4.0,Altındağ,2325000
4,7.0,135.0,0.0,Altındağ,2775000
4,1.0,130.0,1.0,Altındağ,3300000
4,9.0,160.0,4.0,Altındağ,3405000
3,0.0,85.0,7.5,Altındağ,1950000
4,2.0,130.0,0.0,Altındağ,2835000
3,1.0,115.0,13.0,Altındağ,1491000
4,1.0,135.0,7.5,Altındağ,2848500
2,0.0,60.0,20.0,Altındağ,787500
5,3.0,167.0,7.5,Altındağ,2925000
3,1.0,110.0,7.5,Altındağ,1635000
5,4.0,145.0,7.5,Altındağ,2925000
4,6.0,160.0,7.5,Altındağ,4050000
3,0.0,100.0,13.0,Altındağ,2100000
4,-1.0,105.0,7.5,Altındağ,2212500
4,4.0,150.0,7.5,Altındağ,3000000
4,3.0,135.0,3.0,Altındağ,3270000
3,1.0,125.0,13.0,Altındağ,2227500
5,5.0,170.0,4.0,Altındağ,4500000
3,2.0,85.0,13.0,Altındağ,1875000
4,2.0,140.0,0.0,Altındağ,3930000
4,2.0,150.0,4.0,Altındağ,3975000
4,-3.0,115.0,7.5,Altındağ,1933500
4,3.0,130.0,7.5,Altındağ,3112500
4,5.0,130.0,7.5,Altındağ,3825000
4,3.0,140.0,0.0,Altındağ,4200000
4,2.0,130.0,7.5,Altındağ,2625000
4,1.0,130.0,13.0,Altındağ,2212500
4,0.0,125.0,13.0,Altındağ,2625000
4,1.0,140.0,7.5,Altındağ,2887500
4,0.0,115.0,13.0,Altındağ,1950000
4,1.0,140.0,7.5,Altındağ,2917500
4,2.0,130.0,4.0,Altındağ,2947500
3,-1.0,115.0,13.0,Altındağ,1650000
4,1.0,145.0,13.0,Altındağ,2775000
4,1.0,135.0,7.5,Altındağ,2685000
4,1.0,130.0,4.0,Altındağ,3675000
5,9.0,160.0,2.0,Altındağ,3840000
4,1.0,135.0,13.0,Altındağ,3855000
4,3.0,100.0,20.0,Altındağ,2077500
4,0.0,100.0,20.0,Altındağ,2362500
4,-1.0,140.0,4.0,Altındağ,2248500
3,0.0,105.0,0.0,Altındağ,2158500
4,3.0,145.0,4.0,Altındağ,3975000
4,2.0,130.0,13.0,Altındağ,2848500
4,1.0,130.0,13.0,Altındağ,2205000
4,4.0,150.0,4.0,Altındağ,3253500
3,2.0,87.0,20.0,Altındağ,1303500
3,1.0,78.0,20.0,Altındağ,1350000
3,1.0,72.0,20.0,Altındağ,1275000
4,2.0,135.0,7.5,Altındağ,2430000
4,5.0,185.0,7.5,Altındağ,4500000
4,3.0,130.0,7.5,Altındağ,3450000
4,6.0,145.0,0.0,Altındağ,3540000
5,10.0,160.0,7.5,Altındağ,2218500
3,0.0,110.0,1.0,Altındağ,2099999
4,2.0,145.0,3.0,Altındağ,3825000
4,1.0,125.0,7.5,Altındağ,2100000
4,3.0,145.0,7.5,Altındağ,3112500
5,4.0,180.0,0.0,Altındağ,5235000
3,4.0,100.0,18.0,Altındağ,2377500
4,2.0,140.0,7.5,Altındağ,2887500
4,3.0,140.0,0.0,Altındağ,3525000
4,5.0,135.0,0.0,Altındağ,4200000
4,3.0,120.0,0.0,Altındağ,3898500
4,2.0,140.0,7.5,Altındağ,3225000
4,2.0,130.0,7.5,Altındağ,2700000
4,1.0,145.0,13.0,Altındağ,2790000
4,1.0,135.0,7.5,Altındağ,2749500
4,-1.0,140.0,4.0,Altındağ,2625000
4,2.0,130.0,20.0,Altındağ,3207000
5,3.0,210.0,7.5,Altındağ,4125000
5,8.0,210.0,0.0,Altındağ,9150000
4,14.0,180.0,1.0,Altındağ,7500000
5,3.0,200.0,1.0,Altındağ,7500000
4,2.0,140.0,4.0,Altındağ,3592500
4,2.0,130.0,13.0,Altındağ,2362500
4,2.0,120.0,13.0,Altındağ,2287500
6,3.0,170.0,13.0,Altındağ,3075000
4,3.0,95.0,20.0,Altındağ,2160000
4,1.0,130.0,2.0,Altındağ,3862500
4,1.0,125.0,7.5,Altındağ,4335000
8,12.0,320.0,7.5,Altındağ,8400000
4,6.0,166.0,3.0,Altındağ,4125000
5,1.0,175.0,2.0,Altındağ,2835000
4,0.0,117.0,7.5,Altındağ,2173500
4,4.0,125.0,0.0,Altındağ,3300000
3,1.0,115.0,20.0,Altındağ,1185000
5,12.0,155.0,1.0,Altındağ,7425000
7,4.0,235.0,7.5,Altındağ,3525000
4,0.0,130.0,13.0,Altındağ,3150000
4,3.0,145.0,7.5,Altındağ,3562500
5,6.0,205.0,0.0,Altındağ,9210000
4,3.0,145.0,4.0,Altındağ,4050000
5,13.0,165.0,0.0,Altındağ,5235000
4,2.0,140.0,20.0,Altındağ,5385000
4,1.0,130.0,18.0,Altındağ,6450000
4,1.0,145.0,1.0,Altındağ,3525000
4,1.0,135.0,3.0,Altındağ,3525000
4,3.0,165.0,4.0,Altındağ,4575000
4,2.0,125.0,7.5,Altındağ,3900000
3,2.0,87.0,20.0,Altındağ,1050000
4,2.0,119.0,20.0,Altındağ,1650000
3,1.0,80.0,20.0,Altındağ,1123500
4,0.0,120.0,13.0,Altındağ,2347500
4,2.0,125.0,13.0,Altındağ,2640000
4,2.0,135.0,7.5,Altındağ,2625000
3,-2.0,105.0,7.5,Altındağ,2175000
4,12.0,135.0,13.0,Altındağ,2775000
4,2.0,145.0,7.5,Altındağ,3750000
4,1.0,125.0,20.0,Altındağ,4852500
4,1.0,120.0,13.0,Altındağ,2325000
4,1.0,130.0,13.0,Altındağ,3150000
4,0.0,130.0,0.0,Altındağ,2700000
4,1.0,130.0,3.0,Altındağ,2175000
4,1.0,140.0,7.5,Altındağ,2662500
4,3.0,150.0,0.0,Altındağ,3225000
4,-1.0,120.0,13.0,Altındağ,1845000
4,3.0,150.0,13.0,Altındağ,2475000
4,2.0,115.0,0.0,Altındağ,3300000
4,13.0,135.0,7.5,Altındağ,3525000
4,1.0,78.0,20.0,Altındağ,1408500
4,3.0,130.0,7.5,Altındağ,2722500
4,0.0,125.0,4.0,Altındağ,2361000
4,1.0,110.0,20.0,Altındağ,3000000
4,3.0,140.0,7.5,Altındağ,2775000
4,2.0,140.0,13.0,Altındağ,2475000
3,-1.0,110.0,13.0,Altındağ,1777500
4,12.0,180.0,1.0,Altındağ,4125000
4,1.0,135.0,18.0,Altındağ,2212500
4,2.0,150.0,0.0,Altındağ,4650000
6,3.0,275.0,4.0,Altındağ,3525000
5,12.0,145.0,7.5,Altındağ,2325000
4,1.0,125.0,0.0,Altındağ,3000000
4,2.0,140.0,4.0,Altındağ,3150000
4,3.0,140.0,7.5,Altındağ,2362500
4,2.0,145.0,0.0,Altındağ,3825000
4,5.0,145.0,1.0,Altındağ,4350000
4,1.0,135.0,7.5,Altındağ,2625000
4,1.0,130.0,7.5,Altındağ,2625000
5,3.0,220.0,13.0,Altındağ,3735000
4,3.0,135.0,7.5,Altındağ,2685000
6,3.0,300.0,4.0,Altındağ,4725000
4,5.0,140.0,4.0,Altındağ,3420000
4,3.0,135.0,7.5,Altındağ,3225000
4,3.0,140.0,7.5,Altındağ,3112500
4,1.0,115.0,4.0,Altındağ,2445000
4,2.0,150.0,0.0,Altındağ,3750000
6,3.0,310.0,4.0,Altındağ,4425000
3,-1.0,135.0,2.0,Altındağ,1860000
4,3.0,140.0,1.0,Altındağ,3000000
4,2.0,135.0,7.5,Altındağ,4275000
4,4.0,135.0,7.5,Altındağ,3637500
4,1.0,110.0,7.5,Altındağ,2070000
3,1.0,90.0,20.0,Altındağ,1738500
4,4.0,135.0,18.0,Altındağ,2700000
4,4.0,130.0,0.0,Altındağ,3847500
4,4.0,160.0,7.5,Altındağ,3375000
4,1.0,149.0,13.0,Altındağ,2017500
3,0.0,255.0,0.0,Altındağ,1117500
4,1.0,120.0,0.0,Altındağ,2625000
3,1.0,110.0,13.0,Altındağ,1935000
4,0.0,130.0,7.5,Altındağ,2325000
4,1.0,140.0,7.5,Altındağ,2850000
4,5.0,160.0,2.0,Altındağ,4762500
4,-2.0,150.0,0.0,Altındağ,2362500
5,1.0,160.0,7.5,Altındağ,2700000
4,2.0,125.0,7.5,Altındağ,4125000
4,2.0,120.0,7.5,Altındağ,3600000
3,1.0,90.0,13.0,Altındağ,2025000
7,1.0,170.0,0.0,Altındağ,5250000
4,1.0,130.0,18.0,Altındağ,2100000
4,0.0,130.0,7.5,Altındağ,2203500
4,1.0,135.0,7.5,Altındağ,2893500
4,0.0,160.0,1.0,Altındağ,2730000
4,9.0,160.0,0.0,Altındağ,3885000
4,2.0,120.0,13.0,Altındağ,2077500
4,-1.0,130.0,7.5,Altındağ,2385000
4,3.0,125.0,18.0,Altındağ,2475000
4,1.0,120.0,7.5,Altındağ,2145000
4,7.0,175.0,0.0,Altındağ,5100000
4,-1.0,130.0,7.5,Altındağ,2572500
4,1.0,145.0,4.0,Altındağ,2788500
5,2.0,165.0,7.5,Altındağ,3885000
4,2.0,129.0,7.5,Altındağ,2775000
3,-1.0,125.0,13.0,Altındağ,1719000
4,3.0,155.0,7.5,Altındağ,3562500
3,2.0,125.0,4.0,Altındağ,2550000
4,1.0,120.0,18.0,Altındağ,2182500
4,1.0,130.0,7.5,Altındağ,2700000
4,2.0,135.0,7.5,Altındağ,2250000
4,2.0,145.0,7.5,Altındağ,3615000
4,4.0,135.0,13.0,Altındağ,2392500
3,1.0,110.0,13.0,Altındağ,1875000
4,-2.0,120.0,7.5,Altındağ,1905000
4,3.0,140.0,13.0,Altındağ,2458500
4,-2.0,120.0,7.5,Altındağ,2218500
4,2.0,135.0,4.0,Altındağ,5100000
4,5.0,145.0,0.0,Altındağ,5475000
4,4.0,150.0,4.0,Altındağ,3900000
4,-1.0,100.0,13.0,Altındağ,1755000
4,3.0,135.0,13.0,Altındağ,2625000
6,3.0,260.0,4.0,Altındağ,5325000
4,5.0,105.0,0.0,Altındağ,2947500
